YHR197W	YML073C
YHR166C	YKL145W
YML124C	YNL148C
YDR457W	YHR034C
YDR337W	YHR064C
YJR097W	YLR298C
YDL055C	YIL075C
YGL180W	YGR086C
YGR218W	YOR373W
YLR431C	YNL209W
YDR425W	YJL164C
YFR037C	YKR008W
YCR020W-B	YCR052W
YDL132W	YER177W
YBR138C	YGR198W
YML094W	YMR055C
YCL014W	YFR028C
YHR064C	YLR105C
YJR075W	YLR295C
YDR153C	YER062C
YLR336C	YPR190C
YIL135C	YJR059W
YNL154C	YNR019W
YER118C	YPR151C
YKL042W	YNL209W
YDL160C	YLR264W
YDR225W	YJL173C
YDL115C	YER048C
YJL050W	YMR137C
YBR127C	YGR040W
YGL245W	YPL144W
YAL021C	YER165W
YGL030W	YNL207W
YLR453C	YPL098C
YER151C	YGR186W
YJL110C	YPL026C
YDR320C	YDR359C
YJR043C	YOR144C
YLR203C	YLR447C
YDL229W	YPR042C
YNL209W	YOL034W
YLR430W	YNL251C
YDR457W	YKL016C
YGR040W	YJR105W
YOL107W	YPL141C
YDR156W	YNL172W
YMR109W	YNR016C
YHR023W	YML073C
YDR231C	YPR011C
YDR023W	YFR034C
YDR378C	YGL251C
YLL013C	YOL128C
YGR041W	YPL251W
YBR169C	YJL167W
YHR027C	YLR134W
YLR320W	YOR204W
YKR091W	YPL256C
YNL126W	YNL209W
YKL033W	YPL240C
YBR160W	YFR028C
YLR383W	YOL055C
YFL023W	YJL164C
YDR373W	YOR136W
YFR010W	YLR246W
YNL064C	YPL183C
YER074W	YFL002C
YDR285W	YNL064C
YBR010W	YJR091C
YJL034W	YLR438C-A
YMR179W	YPL254W
YOL069W	YPL174C
YCR052W	YGR056W
YMR303C	YOR156C
YLL024C	YOL081W
YDL012C	YIL172C
YER025W	YNL209W
YDR099W	YNL180C
YBL054W	YNL118C
YGR083C	YPL106C
YNL178W	YPR129W
YBR127C	YPR116W
YBR010W	YLR342W
YER125W	YPR135W
YGR250C	YKL049C
YBR127C	YOR189W
YML114C	YPL129W
YHR064C	YKR021W
YHL025W	YNL216W
YER043C	YNL189W
YGR023W	YLR371W
YJL129C	YNL175C
YDL126C	YDL147W
YGR178C	YIL137C
YGR218W	YKL176C
YDL229W	YPL259C
YBR138C	YKL088W
YBR278W	YIL006W
YLR259C	YPL135W
YBR208C	YDL077C
YHR041C	YPR088C
YJR057W	YMR198W
YER095W	YGR240C
YDR158W	YFL002C
YCR057C	YLR029C
YJR125C	YPL222W
YCR008W	YGR258C
YAL005C	YCR066W
YDR171W	YOR073W
YDL229W	YGR213C
YDL005C	YML007W
YKR043C	YNL209W
YBR034C	YOL075C
YDL208W	YNL209W
YNL328C	YOL098C
YBL003C	YDL031W
YDL013W	YNL153C
YKR018C	YPL031C
YDR468C	YLR208W
YDL029W	YNL271C
YER162C	YPL106C
YNL139C	YNL253W
YNL209W	YNL247W
YGL163C	YHR191C
YBL078C	YHR171W
YBR095C	YJL110C
YIL127C	YPL240C
YAL036C	YDR448W
YBR060C	YPL008W
YJR135C	YPL255W
YHR170W	YKL180W
YCL057W	YDL229W
YDR395W	YNL069C
YBR058C	YOL059W
YKL015W	YML051W
YBR010W	YKR025W
YJL069C	YPL106C
YIL149C	YKL105C
